ciudad,latitud,longitud,pais,poblacion
Gharyan,32.1704,13.0200,Libya,146810
Surt,31.2100,16.5900,Libya,128123
Marzuq,25.9044,13.8972,Libya,55071
Sabha,27.0333,14.4333,Libya,100249
Misratah,32.3800,15.1000,Libya,386120
Al `Aziziyah,32.5319,13.0175,Libya,
Zuwarah,32.9344,12.0791,Libya,180310
Nalut,31.8804,10.9700,Libya,66609
Hun,29.1167,15.9333,Libya,18878
Darnah,32.7648,22.6391,Libya,127974
Al Bayda,32.7604,21.6200,Libya,1794
Az Zawiyah,32.7604,12.7200,Libya,200000
Tajarhi,24.3704,14.4708,Libya,1500
Al Jaghbub,29.7504,24.5166,Libya,1744
Awjilah,29.1080,21.2869,Libya,6610
Al Khums,32.6604,14.2600,Libya,201943
Ajdabiya,30.7700,20.2200,Libya,143833
Al Kufrah,24.1667,23.2696,Libya,
Al Jawf,24.2000,23.2900,Libya,24132
As Sidr,30.6704,18.2666,Libya,50
Umm al Abid,27.5170,15.0333,Libya,300
Banghazi,32.1167,20.0667,Libya,1180000
Dirj,30.1679,10.4567,Libya,931
Mizdah,31.4337,12.9833,Libya,26107
Ghadamis,30.1333,9.5000,Libya,6623
Qaminis,31.6606,20.0155,Libya,5348
Awbari,26.5903,12.7751,Libya,
Ghat,24.9647,10.1728,Libya,24347
Bani Walid,31.7704,13.9900,Libya,65392
Zillah,28.5504,17.5834,Libya,10
Tmassah,26.3666,15.8000,Libya,500
Idri,27.4471,13.0517,Libya,
El Agheila,30.2570,19.2000,Libya,100
Birak,27.5333,14.2834,Libya,45421
Maradah,29.2337,19.2166,Libya,2500
Shahhat,32.8281,21.8622,Libya,45000
Al Marj,32.5005,20.8300,Libya,169540
Tubruq,32.0800,23.9600,Libya,263527
Kenitra,34.2704,-6.5800,Morocco,551786
Goulimine,28.9800,-10.0700,Morocco,115267
Fez,34.0546,-5.0004,Morocco,1002000
Casablanca,33.6000,-7.6164,Morocco,3181000
Agadir,30.4400,-9.6200,Morocco,825467
Beni Mellal,32.3373,-6.3498,Morocco,
Tangier,35.7473,-5.8327,Morocco,750060
Settat,33.0104,-7.6200,Morocco,161748
Oujda,34.6900,-1.9100,Morocco,409391
Meknes,33.9004,-5.5600,Morocco,697628
Rabat,34.0253,-6.8361,Morocco,1705000
Marrakesh,31.6300,-8.0000,Morocco,872000
El Jadida,33.2604,-8.5100,Morocco,180470
Er Rachidia,31.9404,-4.4500,Morocco,228489
Tan Tan,28.4304,-11.1000,Morocco,64868
Taza,34.2204,-4.0200,Morocco,199633
Larache,35.2004,-6.1600,Morocco,120082
Ksar El Kebir,35.0204,-5.9100,Morocco,306600
Safi,32.3200,-9.2400,Morocco,353476
Tiznit,29.7104,-9.7400,Morocco,57705
Ouezzane,34.8103,-5.5700,Morocco,69658
Monaco,43.7396,7.4069,Monaco,36371
Leova,46.4823,28.2530,Moldova,
Rezina,47.7493,28.9658,Moldova,
Causeni,46.6367,29.4111,Moldova,
Riscani,47.9479,27.5638,Moldova,
Singerei,47.6363,28.1430,Moldova,
Falesti,47.5767,27.7126,Moldova,
Floresti,47.8914,28.2931,Moldova,
Soldanesti,47.8161,28.7972,Moldova,
Stefan Voda,46.5129,29.6619,Moldova,
Orhei,47.3849,28.8245,Moldova,
Comrat,46.2946,28.6565,Moldova,
Cimislia,46.5268,28.7644,Moldova,
Cantemir,46.2774,28.2027,Moldova,
Basarabeasca,46.3317,28.9636,Moldova,
Edinet,48.1721,27.3034,Moldova,
Ocnita,48.3827,27.4381,Moldova,
Drochia,48.0355,27.8129,Moldova,
Donduseni,48.2394,27.6056,Moldova,
Briceni,48.3629,27.0779,Moldova,
Ialoveni,46.9435,28.7823,Moldova,
Balti,47.7591,27.9053,Moldova,151355
Criuleni,47.2131,29.1593,Moldova,
Bender,46.8316,29.4777,Moldova,
Anenii Noi,46.8784,29.2348,Moldova,
Cahul,45.9079,28.1944,Moldova,63407
Chisinau,47.0050,28.8577,Moldova,688134
Straseni,47.1422,28.6077,Moldova,
Tiraspol,46.8531,29.6400,Moldova,157000
Telenesti,47.5011,28.3654,Moldova,
Taraclia,45.9027,28.6682,Moldova,
Dubasari,47.2631,29.1608,Moldova,23254
Cocieri,47.3087,29.1101,Moldova,
Calarasi,47.2556,28.3099,Moldova,
Glodeni,47.7751,27.5189,Moldova,
Hincesti,46.8305,28.5906,Moldova,
Nisporeni,47.0816,28.1714,Moldova,
Soroca,48.1566,28.2849,Moldova,
Ungheni,47.2108,27.8005,Moldova,
Berane,42.8425,19.8733,Montenegro,
Plav,42.5969,19.9456,Montenegro,
Andrijevica,42.7339,19.7919,Montenegro,
Petnjica,42.9089,19.9644,Montenegro,
Gusinje,42.5619,19.8339,Montenegro,
Kolasin,42.8242,19.5225,Montenegro,
Podgorica,42.4660,19.2663,Montenegro,145850
Bijelo Polje,43.0292,19.7456,Montenegro,
Bar,42.0931,19.1003,Montenegro,
Budva,42.2864,18.8400,Montenegro,
Cetinje,42.3922,18.9225,Montenegro,
Danilovgrad,42.5472,19.1053,Montenegro,
Herceg-Novi,42.4531,18.5375,Montenegro,
Kotor,42.4258,18.7719,Montenegro,
Mojkovac,42.9639,19.5825,Montenegro,
Niksic,42.7750,18.9583,Montenegro,
Pluzine,43.1528,18.8394,Montenegro,
Pljevlja,43.3522,19.3542,Montenegro,
Rozaje,42.8439,20.1683,Montenegro,
Savnik,42.9564,19.0967,Montenegro,
Tivat,42.4364,18.6961,Montenegro,
Ulcinj,41.9283,19.2064,Montenegro,
Zabljak,43.1547,19.1219,Montenegro,
Marigot,18.0706,-63.0847,Saint Martin,
Antananarivo,-18.9166,47.5166,Madagascar,1697000
Toamasina,-18.1818,49.4050,Madagascar,210226
Antalaha,-14.8833,50.2833,Madagascar,47224
Maroantsetra,-15.4333,49.7333,Madagascar,38046
Mandritsara,-15.8328,48.8166,Madagascar,9705
Besalampy,-16.7495,44.4833,Madagascar,1022
Marovoay,-16.0995,46.6333,Madagascar,31253
Andoany,-13.4000,48.2666,Madagascar,22680
Mahajanga,-15.6700,46.3450,Madagascar,154657
Ambanja,-13.6829,48.4500,Madagascar,30621
Antsiranana,-12.2765,49.3115,Madagascar,82937
Miandrivazo,-19.5162,45.4666,Madagascar,20631
Mananjary,-21.2167,48.3333,Madagascar,27686
Morombe,-21.7391,43.3657,Madagascar,16727
Toliara,-23.3568,43.6900,Madagascar,115319
Manja,-21.4329,44.3333,Madagascar,1536
Fianarantsoa,-21.4333,47.0833,Madagascar,184184
Androka,-25.0219,44.0749,Madagascar,174
Bekiy,-24.2162,45.3166,Madagascar,4286
Antsirabe,-19.8500,47.0333,Madagascar,307921
Antsohihy,-14.8661,47.9834,Madagascar,21290
Maintirano,-18.0666,44.0167,Madagascar,5925
Ambatondrazaka,-17.8329,48.4167,Madagascar,43134
Farafangana,-22.8166,47.8332,Madagascar,24764
Ihosy,-22.3996,46.1167,Madagascar,16990
Morondava,-20.2833,44.2833,Madagascar,36803
Tolanaro,-25.0268,46.9900,Madagascar,16818
Sambava,-14.2662,50.1666,Madagascar,43465
